Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Latitude,Longitude,EPA_Region,Population,Input_area(sq. miles),Particulate_Matter,Ozone,NATA*_Diesel_PM,NATA*_Air_Toxics_Cancer_Risk,NATA*_Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index%,Minority_Population%,Low_Income_Population%,Linguistically_Isolated_Population%,Population_with_Less_Than_High_School_Education%,Population_under_Age_5%,Population_over_Age_64%,URL
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.114414,-88.283429,5,12089,3.14,10.3,39.2,1.35,35,1.5,300,0.35,0.043,1.8,0.2,0.047,37,37,36,3,4,8,12,https://trulia.com/c/il//champaign/gramercy-park-apartments-2106-w-white-st-champaign-il-61821--2105195604
1105 W Springfield Ave,Champaign,IL,61821,"$1,195",1952,12,Single-Family Home,939,(217) 840-0388,2,2,1,1,3,1,1,1,0,1,10,5,6,4,2,4,40.112645,-88.263144,5,14974,3.14,10.3,39.1,1.6,39,1.8,400,0.67,0.045,2.2,0.44,0.14,30,26,35,2,4,6,11,https://trulia.com/c/il//champaign/1105-w-springfield-ave-champaign-il-61821--1140845337
411 W Green St,Champaign,IL,61820,"$2,700",1913,36,Single-Family Home,"1,945",(217) 714-1234,3,3,2,2,3,1,1,1,0,1,10,5,6,4,2,4,40.110115,-88.249834,5,28212,3.14,10.4,39.1,2.32,45,2.2,330,0.45,0.046,1.9,0.83,0.74,49,29,65,5,4,2,4,https://trulia.com/c/il//champaign/411-w-green-st-champaign-il-61820--2105191409
3901 Crowwood Dr,Champaign,IL,"""61822""",$885,NA,180+,Apartment,NA,(217) 576-3030,2,2,2,2,0,2,2,0,0,3,10,4,6,4,2,5,40.107549,-88.310502,5,5083,3.14,10.3,39.3,0.989,31,1.2,350,0.091,0.04,0.79,0.14,0.028,28,29,26,1,3,5,13,https://trulia.com/c/il//champaign/crowwood-point-3901-crowwood-dr-champaign-il-61822--2059026670
52 E Armory Ave,Champaign,IL,"""61820""","$759 - $1,660",NA,30,Apartment,NA,(217) 401-4263,1,4,1,2,3,1,2,0,0,1,10,5,6,4,2,4,40.105389,-88.239892,5,26463,3.14,10.3,39.1,2.56,47,2.3,310,0.29,0.046,1.8,0.99,0.87,57,34,78,8,5,1,2,https://trulia.com/c/il//champaign/52-e-armory-52-e-armory-ave-champaign-il-61820--1011817712
2401 Clayton Blvd,Champaign,IL,"""61822""","$690 - $1,195",2017,99,Apartment,NA,(217) 236-6038,Studio,2,1,2,2,1,3,0,0,0,10,4,6,4,2,5,40.127137,-88.286858,5,8572,3.14,10.3,39.2,1.28,34,1.4,440,0.24,0.045,3,0.21,0.05,44,44,45,4,8,11,9,https://trulia.com/c/il//champaign/2401-2401-clayton-blvd-champaign-il-61822--2059023591
2002 W Bradley Ave,Champaign,IL,"""61821""",$545 - $650,2012,97,Apartment,NA,(217) 434-4461,2,4,2,4,2,1,3,0,0,0,10,4,6,4,2,5,40.127491,-88.281222,5,9233,3.14,10.3,39.2,1.49,35,1.6,470,0.35,0.046,3.6,0.25,0.065,49,47,51,4,9,10,10,https://trulia.com/c/il//champaign/parkland-point-apartments-2002-w-bradley-ave-champaign-il-61821--2105195501
304 E Daniel St,Champaign,IL,"""61820""","$2,396 - $2,500",2000,30,Apartment,NA,(217) 441-2453,4,4,2,2,1,0,1,1,0,1,10,5,6,4,2,4,40.107980,-88.234892,5,35580,3.14,10.3,39,2.22,45,2.1,260,0.27,0.046,1.8,1.5,0.94,61,40,82,11,5,1,2,https://trulia.com/c/il//champaign/304-e-daniel-304-e-daniel-st-champaign-il-61820--1011814047
3904 Summer Sage Ct,Champaign,IL,61822,"$1,650",NA,5,Townhome,"2,400",(217) 607-6565,3,3,3,3,4,2,0,1,0,0,10,4,6,4,2,5,40.127134,-88.309404,5,5590,3.14,10.3,39.3,0.723,30,1.1,420,0.012,0.044,1.5,0.14,0.012,25,30,20,3,2,11,5,https://trulia.com/c/il//champaign/3904-summer-sage-ct-champaign-il-61822--2059026738
3206 Palmer Dr,Champaign,IL,"""61822""","$940 - $1,250",2012,70,Apartment,NA,(217) 769-0800,1,3,1,2,1,0,6,0,0,0,10,5,6,4,2,5,40.074149,-88.317897,5,2438,3.14,10.3,39.3,0.723,28,1,200,0.1,0.037,0.19,0.12,0.015,27,36,18,3,3,5,8,https://trulia.com/c/il//champaign/the-legends-3206-palmer-dr-champaign-il-61822--1150631942
