Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Latitude,Longitude,EPA_Region,Population,Input_area(sq. miles),Particulate_Matter,Ozone,NATA*_Diesel_PM,NATA*_Air_Toxics_Cancer_Risk,NATA*_Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index%,Minority_Population%,Low_Income_Population%,Linguistically_Isolated_Population%,Population_with_Less_Than_High_School_Education%,Population_under_Age_5%,Population_over_Age_64%,URL
201 W Hill St #3200,Champaign,IL,61820,"$1,450",NA,17,Multi-Family Home,"1,300",(773) 936-5100,2,2,2,2,1,3,2,1,2,1,10,4,6,4,2,4,40.119212,-88.245531,5,23706,3.14,10.3,39.1,2.59,46,2.3,490,0.41,0.047,2.2,0.91,0.82,57,42,71,8,7,3,5,https://www.trulia.com/rental/4041308897-201-W-Hill-St-3200-Champaign-IL-61820
107 E Daniel St,Champaign,IL,61820,"$1,890",NA,146,Multi-Family Home,NA,(317) 961-8004,4,4,2,2,1,3,2,1,2,1,10,5,6,4,2,4,40.107920,-88.237723,5,31719,3.14,10.3,39,2.4,46,2.2,300,0.3,0.046,1.9,1.4,0.93,59,37,80,9,6,1,2,https://www.trulia.com/rental/4000855948-107-E-Daniel-St-Champaign-IL-61820
2311 Melrose Dr,Champaign,IL,61820,"$1,150",1977,22,Multi-Family Home,"1,124",(217) 352-1234,2,2,1,1,1,3,4,1,1,0,10,5,6,4,2,4,40.083504,-88.254849,5,7668,3.14,10.4,39.1,0.696,33,1.2,100,0.12,0.04,0.61,0.24,0.031,17,18,16,3,2,6,22,https://www.trulia.com/rental/4019243163-2311-Melrose-Dr-Champaign-IL-61820
4512 Doverbrook Dr,Champaign,IL,61822,"$2,000",NA,15,Single-Family Home,"2,952",(217) 251-7421,5,5,3,3,2,1,1,1,5,0,10,5,6,4,2,5,40.090225,-88.321360,5,5190,3.14,10.3,39.3,0.82,28,1,180,0.058,0.037,0.26,0.12,0.023,23,33,12,3,1,4,12,https://www.trulia.com/rental/3238263555-4512-Doverbrook-Dr-Champaign-IL-61822
306 W Hill St #10,Champaign,IL,61820,$550,NA,17,Multi-Family Home,NA,(217) 377-8850,1,1,1,1,2,1,2,2,0,3,10,4,6,4,2,4,40.119269,-88.247583,5,21832,3.14,10.3,39.1,2.53,46,2.3,490,0.44,0.047,2.2,0.85,0.79,54,40,68,7,7,3,5,https://www.trulia.com/rental/3127606304-306-W-Hill-St-10-Champaign-IL-61820
3422 Stoneway Ct #1,Champaign,IL,61822,"$1,200",NA,43,Multi-Family Home,"1,240",(217) 714-1234,3,3,2,2,5,1,0,1,2,0,10,4,6,4,2,5,40.131186,-88.302531,5,6346,3.14,10.3,39.3,0.723,30,1.1,380,0.012,0.044,1.6,0.14,0.018,25,28,21,2,2,11,7,https://www.trulia.com/rental/4040215861-3422-Stoneway-Ct-1-Champaign-IL-61822
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.094703,-88.297676,5,10586,3.14,10.3,39.3,1.03,33,1.3,180,0.14,0.04,0.71,0.15,0.018,25,28,21,2,3,6,16,https://www.trulia.com/rental/4034693083-1821-Moraine-Dr-Champaign-IL-61822
302 Buena Vista Dr #D,Champaign,IL,61820,$785,NA,8,Multi-Family Home,850,(217) 377-8850,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.101283,-88.246930,5,22916,3.14,10.4,39.1,2.17,44,2,260,0.37,0.045,1.7,0.82,0.68,49,27,66,4,3,2,4,https://www.trulia.com/rental/3085872021-302-Buena-Vista-Dr-D-Champaign-IL-61820
1015 W Hill St,Champaign,IL,61821,"$1,300",1915,21,Single-Family Home,"2,800",(217) 766-6099,3,3,2,2,1,3,4,1,1,0,10,4,6,4,2,4,40.119191,-88.262001,5,14287,3.14,10.3,39.1,1.77,39,1.8,460,0.67,0.046,3,0.48,0.17,38,33,43,3,7,6,10,https://www.trulia.com/rental/4039711411-1015-W-Hill-St-Champaign-IL-61821
512 W Clark St #1,Champaign,IL,61820,$890,1920,78,Multi-Family Home,950,(217) 390-4639,2,2,1,1,1,3,4,1,1,0,10,4,6,4,2,4,40.115342,-88.251521,5,20839,3.14,10.3,39.1,2.32,44,2.1,450,0.52,0.046,2.1,0.74,0.67,47,32,60,5,5,3,6,https://www.trulia.com/rental/4015853492-512-W-Clark-St-1-Champaign-IL-61820
411 W Green St,Champaign,IL,61820,"$2,700",1913,16,Single-Family Home,"1,945",(217) 714-1234,3,3,2,2,1,3,4,1,1,0,10,5,6,4,2,4,40.110115,-88.249834,5,28212,3.14,10.4,39.1,2.32,45,2.2,330,0.45,0.046,1.9,0.83,0.74,49,29,65,5,4,2,4,https://www.trulia.com/rental/4039323216-411-W-Green-St-Champaign-IL-61820
208 E White St #10,Champaign,IL,61820,$995,NA,113,Multi-Family Home,900,(217) 356-8750,2,2,1,1,1,3,2,1,2,1,10,4,6,4,2,4,40.114462,-88.236122,5,33405,3.14,10.3,39,2.41,46,2.2,320,0.3,0.047,2.1,1.5,0.95,61,42,79,9,7,1,3,https://www.trulia.com/rental/4036916202-208-E-White-St-10-Champaign-IL-61820
2107 Melrose Dr #A,Champaign,IL,61820,$975,1979,13,Multi-Family Home,"1,026",(217) 649-0829,2,2,2,2,1,3,4,1,1,0,10,5,6,4,2,4,40.085031,-88.254660,5,7714,3.14,10.4,39.1,0.704,33,1.2,98,0.13,0.04,0.63,0.24,0.033,17,18,16,3,2,6,22,https://www.trulia.com/rental/3230926470-2107-Melrose-Dr-A-Champaign-IL-61820
408 S Prairie St,Champaign,IL,61820,"$1,200",2015,47,Multi-Family Home,"1,000",(517) 348-5697,2,2,1,1,1,3,2,1,2,1,10,5,6,4,2,4,40.111838,-88.248447,5,29703,3.14,10.3,39.1,2.43,46,2.2,340,0.43,0.046,1.9,0.88,0.77,51,31,68,6,5,2,4,https://www.trulia.com/rental/4040095243-408-S-Prairie-St-Champaign-IL-61820
717 Dover Pl,Champaign,IL,61820,"$1,050",1960,15,Single-Family Home,983,(281) 826-1586,3,3,1,1,1,3,4,1,1,0,10,5,6,4,2,4,40.095348,-88.255437,5,9662,3.14,10.4,39.1,0.961,36,1.4,130,0.38,0.042,1.1,0.34,0.087,20,17,22,1,2,5,15,https://www.trulia.com/rental/4007521859-717-Dover-Pl-Champaign-IL-61820
