"","X","Address","City","State","Zip_Code","Rent_Per_Month","Year","Days_on_Trulia","Type","Sqft","Phone_Number","Bedroom_min","Bedroom_max","Bathroom_min","Bathroom_max","Assault","Arrest","Theft","Vandalism","Burglary","Crime_Other","Elementary_School_Count","Elementary_School_Avg_Score","Middle_School_Count","Middle_School_Avg_Score","High_School_Count","High_School_Avg_Score","Latitude","Longitude","EPA_Region","Population","Input_area.sq..miles.","Particulate_Matter","Ozone","NATA._Diesel_PM","NATA._Air_Toxics_Cancer_Risk","NATA._Respiratory_Hazard_Index","Traffic_Proximity_and_Volume","Lead_Paint_Indicator","Superfund_Proximity","RMP_Proximity","Hazardous_Waste_Proximity","Wastewater_Discharge_Indicator","Demographic_Index.","Minority_Population.","Low_Income_Population.","Linguistically_Isolated_Population.","Population_with_Less_Than_High_School_Education.","Population_under_Age_5.","Population_over_Age_64.","URL","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","rent_max","rent_min"
"1",1,"1619 N La Brea Ave","Los Angeles","CA","""90028""","$2,720 - $6,820",2011,"69","Apartment",NA,"(323) 524-2148","Studio","3",1,"3",0,0,0,0,0,0,2,8,2,3,0,NA,34.100714,-118.345002,9,45295,3.14,"12.1","40.5",2.05,64,3.5,3100,0.44,0.12,0.82,0.12,"0.008",36,34,38,15,8,2,12,"https://www.trulia.com/c/ca/los-angeles/the-avenue-hollywood-1619-n-la-brea-ave-los-angeles-ca-90028--2115555214",6,37,189904,1006,60371899041006,"Block 1006","G5040","U",51445,"U","S",19516,0,34.1002938,-118.3456468,6820,2720
"2",2,"1200 S Grand Ave","Los Angeles","CA","""90015""","$1,935 - $3,565",2017,"180+","Apartment",NA,"(213) 699-5641","Studio","2",1,"2",0,0,0,0,0,0,2,2,2,1,0,NA,34.040029,-118.26339,9,44409,3.14,"12.5","38.2",2.81,83,4.9,7000,0.56,0.13,2.5,0.46,"0.27",72,81,63,23,32,6,10,"https://www.trulia.com/c/ca/los-angeles/g12-1200-s-grand-ave-los-angeles-ca-90015--2115493873",6,37,207900,1020,60372079001020,"Block 1020","G5040","U",51445,"U","S",11508,0,34.0393681,-118.2635272,3565,1935
"3",3,"5520 Wilshire Blvd","Los Angeles","CA","""90036""","$2,265 - $9,362",2016,"180+","Apartment",NA,"(424) 324-3613","Studio","2",1,"2",0,0,0,0,0,0,2,4,2,7,0,NA,34.06224,-118.349193,9,44060,3.14,"12.3","39.6",1.52,64,3.6,2300,0.68,0.096,0.16,0.098,"47",37,48,25,9,5,6,11,"https://www.trulia.com/c/ca/los-angeles/desmond-at-wilshire-5520-wilshire-blvd-los-angeles-ca-90036--2077337370",6,37,216200,4000,60372162004000,"Block 4000","G5040","U",51445,"U","S",19516,0,34.0614421,-118.3491666,9362,2265
"4",4,"12301 W Pico Blvd","Los Angeles","CA","""90064""","$2,298 - $3,389",2013,"180+","Apartment",NA,"(424) 293-3982","Studio","2",1,"2",0,0,0,0,0,0,2,5,2,2,0,NA,34.02837,-118.452283,9,33415,3.14,"11.7","40.2",1.98,60,3.6,5200,0.4,0.05,0.65,0.092,"0",42,53,31,10,10,6,12,"https://www.trulia.com/c/ca/los-angeles/c-on-pico-12301-w-pico-blvd-los-angeles-ca-90064--2115681218",6,37,267600,3016,60372676003016,"Block 3016","G5040","U",51445,"U","S",14646,0,34.0287794,-118.453077,3389,2298
"5",5,"550 N Figueroa St","Los Angeles","CA","""90012""","$1,850 - $3,074",NA,"180+","Apartment",NA,"(415) 969-9093","Studio","2",1,"2",0,0,0,0,0,0,2,6,2,4,0,NA,34.062681,-118.246229,9,41995,3.14,"12.4","38.5",2.81,72,4.1,7800,0.39,0.18,2.4,0.38,"1.3",70,84,58,30,33,4,14,"https://www.trulia.com/c/ca/los-angeles/the-orsini-550-n-figueroa-st-los-angeles-ca-90012--2115485069",6,37,207101,1011,60372071011011,"Block 1011","G5040","U",51445,"U","S",22093,0,34.0623915,-118.2452158,3074,1850
"6",6,"939 S Hill St","Los Angeles","CA","""90015""","$2,060 - $4,310",NA,"180+","Apartment",NA,"(323) 736-5779","Studio","2",1,"2",0,0,0,0,0,0,2,2,2,1,0,NA,34.04205,-118.258104,9,42646,3.14,"12.5","38.2",2.83,89,5.3,5500,0.54,0.14,3.3,0.59,"0.55",68,75,61,20,24,4,13,"https://www.trulia.com/c/ca/los-angeles/south-park-by-windsor-939-s-hill-st-los-angeles-ca-90015--2175057061",6,37,207900,1003,60372079001003,"Block 1003","G5040","U",51445,"U","S",12593,0,34.0424823,-118.2580643,4310,2060
"7",7,"801 S Olive St","Los Angeles","CA","""90014""","$2,631 - $7,995",2016,"143","Apartment",NA,"(213) 986-2920","Studio","2",1,"2.5",0,0,0,0,0,0,2,2,2,1,0,NA,34.044941,-118.257113,9,48946,3.14,"12.5","38.2",2.78,88,5.1,5300,0.51,0.14,3.1,0.54,"0.53",69,76,61,21,25,4,12,"https://www.trulia.com/c/ca/los-angeles/atelier-801-s-olive-st-los-angeles-ca-90014--2115491462",6,37,207710,1045,60372077101045,"Block 1045","G5040","U",51445,"U","S",25132,0,34.0447883,-118.2580692,7995,2631
"8",8,"5353 Wilshire Blvd","Los Angeles","CA","""90036""","$2,945 - $3,935",NA,"180+","Apartment",NA,"(424) 324-5634","2","2",2,"2",0,0,0,0,0,0,2,7,2,7,0,NA,34.062261,-118.345419,9,42183,3.14,"12.3","39.6",1.52,64,3.5,2200,0.69,0.097,0.17,0.099,"44",37,49,26,9,5,6,10,"https://www.trulia.com/c/ca/los-angeles/boulevard-on-wilshire-5353-wilshire-blvd-los-angeles-ca-90036--2077337249",6,37,215102,1004,60372151021004,"Block 1004","G5040","U",51445,"U","S",1179,0,34.0622579,-118.3456435,3935,2945
"9",9,"909 W Temple St","Los Angeles","CA","""90012""","$1,950 - $4,199",NA,"180+","Apartment",NA,"(415) 969-2109","Studio","3",1,"3",0,0,0,0,0,0,2,6,2,2,0,NA,34.060915,-118.249492,9,52465,3.14,"12.4","38.5",2.78,76,4.3,6700,0.47,0.18,2.2,0.35,"0.64",72,84,60,28,32,4,12,"https://www.trulia.com/c/ca/los-angeles/da-vinci-909-w-temple-st-los-angeles-ca-90012--2115486656",6,37,207400,1003,60372074001003,"Block 1003","G5040","U",51445,"U","S",18545,0,34.0607396,-118.2486898,4199,1950
"10",10,"400 S Detroit St","Los Angeles","CA","""90036""","$2,349 - $3,087",1989,"111","Apartment",NA,"(323) 489-3887","1","2",1,"2",0,0,0,0,0,0,2,7,2,7,0,NA,34.066547,-118.345119,9,39670,3.14,"12.3","39.6",1.51,64,3.5,2000,0.68,0.099,0.17,0.1,"33",33,41,24,9,3,6,11,"https://www.trulia.com/c/ca/los-angeles/essex-properties-at-miracle-mile-400-s-detroit-st-los-angeles-ca-90036--2115576959",6,37,215102,2004,60372151022004,"Block 2004","G5040","U",51445,"U","S",21415,0,34.0658924,-118.3456348,3087,2349
