Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,Short_form_ID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
3505 Redwine Road,Atlanta,GA,30344,"$965 - $1,535",NA,144,Apartment,"768-1,486",,1,1,1,1,39,10,889,NA,NA,NA,1,2,1,3,1,2,85,13,0,0,41,1,3,3,47,1,34,4,33.661035,-84.501147,4,9372,3.14,9.93,34.2,1.2,51,2.8,2300,0.061,0.012,0.44,0.062,0.19,70,98,41,1,13,8,8,https://www.trulia.com/c/ca/atlanta/landmark-at-creekside-grand-3505-redwine-rd-atlanta-ga-30344--2030519511,4041890233,13,121,11303,1021,1.3121E+14,Block 1021,G5040,U,3817,U,S,436991,0,33.6628678,-84.5023755
3151 Stillhouse Creek Drive Southeast,Atlanta,GA,30339,"$1,395 - $3,230",NA,200,Apartment,"883-1,345",,1,1,1,1,NA,21,387,NA,33,NA,1,7,1,6,1,5,99,1,0,0,130,2,24,14,137,16,71,27,33.874542,-84.462196,4,8593,3.14,10.1,35.1,1.75,57,2.5,1800,0.029,0.013,0.64,0.059,0.062,29,38,19,2,2,6,11,https://www.trulia.com/c/ca/atlanta/bell-vinings-3151-stillhouse-creek-dr-se-atlanta-ga-30339--2092181121,4038691855,13,67,31207,1008,1.3067E+14,Block 1008,G5040,U,3817,U,S,311081,0,33.8745865,-84.4606827
391 17th Street Northwest,Atlanta,GA,30363,"$1,505 - $3,271",2006,304,Apartment,"650-1,449",,1,1,1,1,5,NA,199,NA,11,NA,1,5,2,6,1,6,71,14,4,11,210,6,84,38,238,58,174,50,33.791126,-84.400692,4,20334,3.14,10.2,34.7,2.66,65,3.5,7400,0.18,0.012,0.73,0.066,0.00066,45,48,38,4,4,2,2,https://www.trulia.com/c/ca/atlanta/seventeen-west-391-17th-st-nw-atlanta-ga-30363--2092203728,4035325642,13,121,600,1001,1.3121E+14,Block 1001,G5040,U,3817,U,S,15020,0,33.7914925,-84.4006127
530 Piedmont Avenue NE,Atlanta,GA,30308,"$1,533 - $3,316",NA,241,Apartment,"865-1,545",,1,1,1,1,59,2,702,NA,NA,NA,1,3,1,8,1,6,72,8,1,16,474,11,164,73,253,86,157,89,33.769032,-84.382017,4,38244,3.14,10.1,34.6,3.23,72,4,10000,0.27,0.012,0.87,0.077,1.50E-05,45,51,35,2,6,3,5,https://www.trulia.com/c/ca/atlanta/the-waterford-on-piedmont-530-piedmont-ave-ne-atlanta-ga-30308--2092034473,4036677092,13,121,1900,2010,1.3121E+14,Block 2010,G5040,U,3817,U,S,26417,0,33.769243,-84.3830206
1831 Briarcliff Circle Northeast,Atlanta,GA,30329,"$1,299 - $1,900",1982,123,Apartment,"1,370-1,690",,2,2,1,1,66,223,240,NA,NA,NA,1,5,1,6,1,7,88,9,0,2,64,1,13,9,62,7,23,12,33.835821,-84.315317,4,12009,3.14,10.1,35.2,1.74,59,2.9,2600,0.15,0.011,0.24,0.14,0,45,54,37,10,12,6,9,https://www.trulia.com/c/ca/atlanta/villas-at-briarcliff-1831-briarcliff-cir-ne-atlanta-ga-30329--2092157103,9000033064,13,89,21603,1000,1.3089E+14,Block 1000,G5040,U,3817,U,S,360081,0,33.8342971,-84.3138962
4501 Circle 75 Parkway Southeast,Atlanta,GA,30339,"$1,265 - $2,450",2017,164,Apartment,"651-1,490",,1,1,1,1,NA,21,387,NA,33,NA,1,4,1,6,1,8,99,1,0,0,103,4,19,11,92,9,112,19,33.899111,-84.473962,4,12061,3.14,10.1,35.3,1.63,56,2.4,1400,0.021,0.013,0.15,0.057,0.12,60,76,44,8,12,10,4,https://www.trulia.com/c/ca/atlanta/stadium-walk-4501-circle-75-pkwy-se-atlanta-ga-30339--2092183582,4036367082,13,67,30345,1006,1.3067E+14,Block 1006,G5040,U,3817,U,S,160720,0,33.8982725,-84.4762299
95 8th Street Northwest,Atlanta,GA,30309,"$1,844 - $3,068",2017,217,Apartment,"708-1,217",,1,1,1,1,15,NA,400,NA,27,NA,1,9,1,8,1,6,88,5,0,6,283,8,107,54,164,78,151,59,33.779616,-84.390376,4,37575,3.14,10.2,34.7,3.24,73,4,7800,0.23,0.012,0.67,0.072,0.00012,40,44,30,2,4,1,3,https://www.trulia.com/c/ca/atlanta/modera-midtown-95-8th-st-nw-atlanta-ga-30309--2316191296,4011609722,13,121,1001,2015,1.3121E+14,Block 2015,G5040,U,3817,U,S,16390,0,33.7800356,-84.3897221
350 Peachtree Hills Avenue NE,Atlanta,GA,30305,"$1,445 - $3,350",NA,110,Apartment,"554-1,333",,1,1,1,1,0,0,0,0,0,0,1,7,1,6,1,7,97,2,0,0,81,5,37,10,231,12,154,57,33.818228,-84.374871,4,16358,3.14,10.2,34.9,2.02,60,2.9,4000,0.21,0.012,0.75,0.083,7.00E-07,28,36,21,4,4,4,12,https://www.trulia.com/c/ca/atlanta/post-peachtree-hills-350-peachtree-hills-ave-ne-atlanta-ga-30305--2092015212,4037139788,13,121,9300,2001,1.3121E+14,Block 2001,G5040,U,3817,U,S,222940,0,33.8195345,-84.3771455
3505 Windy Ridge Lane Southeast,Atlanta,GA,30339,"$1,210 - $2,490",NA,200,Apartment,"701-1,134",,1,1,1,1,NA,21,387,NA,33,NA,1,4,1,6,1,8,99,1,0,0,73,0,15,12,43,10,63,17,33.8994,-84.458439,4,11269,3.14,10.1,35.3,1.76,57,2.6,2400,0.02,0.013,0.15,0.063,0.12,39,55,24,6,4,8,5,https://www.trulia.com/c/ca/atlanta/hudson-ridge-3505-windy-ridge-ln-se-atlanta-ga-30339--2092181903,4038691920,13,67,30345,3006,1.3067E+14,Block 3006,G5040,U,3817,U,S,33724,0,33.9009365,-84.45625
1240 West Peachtree Street NW,Atlanta,GA,30309,"$1,664 - $4,990",2017,308,Apartment,"650-1,552",,0,0,1,1,15,NA,400,NA,27,NA,1,9,1,8,1,6,88,5,0,6,216,6,87,40,143,66,103,63,33.78852,-84.387823,4,25172,3.14,10.2,34.7,3.13,71,3.9,5300,0.25,0.012,0.63,0.069,0.00016,33,37,24,2,2,1,4,https://www.trulia.com/c/ca/atlanta/amli-arts-center-1240-w-peachtree-st-nw-atlanta-ga-30309--2030456219,4028389331,13,121,500,1082,1.3121E+14,Block 1082,G5040,U,3817,U,S,49591,0,33.788314,-84.388538
