Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,Short_form_ID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
3505 Redwine Road,Atlanta,GA,30344.0,"$965 - $1,535",,144.0,Apartment,"768-1,486",,1.0,1.0,1.0,1.0,39.0,10.0,889.0,,,,1.0,2.0,1.0,3.0,1.0,2.0,85.0,13.0,0.0,0.0,41.0,1.0,3.0,3.0,47.0,1.0,34.0,4.0,33.661035,-84.501147,4,9372,3.14,9.93,34.2,1.2,51,2.8,2300.0,0.061,0.012,0.44,0.062,0.19,70,98,41,1,13,8,8,https://www.trulia.com/c/ca/atlanta/landmark-at-creekside-grand-3505-redwine-rd-atlanta-ga-30344--2030519511,4041890233.0,13.0,121.0,11303.0,1021.0,131210000000000.0,Block 1021,G5040,U,3817.0,U,S,436991.0,0.0,33.662867799999994,-84.5023755
3151 Stillhouse Creek Drive Southeast,Atlanta,GA,30339.0,"$1,395 - $3,230",,200.0,Apartment,"883-1,345",,1.0,1.0,1.0,1.0,,21.0,387.0,,33.0,,1.0,7.0,1.0,6.0,1.0,5.0,99.0,1.0,0.0,0.0,130.0,2.0,24.0,14.0,137.0,16.0,71.0,27.0,33.874542,-84.46219599999999,4,8593,3.14,10.1,35.1,1.75,57,2.5,1800.0,0.028999999999999998,0.013000000000000001,0.64,0.059000000000000004,0.062,29,38,19,2,2,6,11,https://www.trulia.com/c/ca/atlanta/bell-vinings-3151-stillhouse-creek-dr-se-atlanta-ga-30339--2092181121,4038691855.0,13.0,67.0,31207.0,1008.0,130670000000000.0,Block 1008,G5040,U,3817.0,U,S,311081.0,0.0,33.8745865,-84.4606827
391 17th Street Northwest,Atlanta,GA,30363.0,"$1,505 - $3,271",2006.0,304.0,Apartment,"650-1,449",,1.0,1.0,1.0,1.0,5.0,,199.0,,11.0,,1.0,5.0,2.0,6.0,1.0,6.0,71.0,14.0,4.0,11.0,210.0,6.0,84.0,38.0,238.0,58.0,174.0,50.0,33.791126,-84.400692,4,20334,3.14,10.2,34.7,2.66,65,3.5,7400.0,0.18,0.012,0.73,0.066,0.00066,45,48,38,4,4,2,2,https://www.trulia.com/c/ca/atlanta/seventeen-west-391-17th-st-nw-atlanta-ga-30363--2092203728,4035325642.0,13.0,121.0,600.0,1001.0,131210000000000.0,Block 1001,G5040,U,3817.0,U,S,15020.0,0.0,33.7914925,-84.4006127
530 Piedmont Avenue NE,Atlanta,GA,30308.0,"$1,533 - $3,316",,241.0,Apartment,"865-1,545",,1.0,1.0,1.0,1.0,59.0,2.0,702.0,,,,1.0,3.0,1.0,8.0,1.0,6.0,72.0,8.0,1.0,16.0,474.0,11.0,164.0,73.0,253.0,86.0,157.0,89.0,33.769032,-84.382017,4,38244,3.14,10.1,34.6,3.23,72,4.0,10000.0,0.27,0.012,0.87,0.077,1.4999999999999999e-05,45,51,35,2,6,3,5,https://www.trulia.com/c/ca/atlanta/the-waterford-on-piedmont-530-piedmont-ave-ne-atlanta-ga-30308--2092034473,4036677092.0,13.0,121.0,1900.0,2010.0,131210000000000.0,Block 2010,G5040,U,3817.0,U,S,26417.0,0.0,33.769242999999996,-84.3830206
1831 Briarcliff Circle Northeast,Atlanta,GA,30329.0,"$1,299 - $1,900",1982.0,123.0,Apartment,"1,370-1,690",,2.0,2.0,1.0,1.0,66.0,223.0,240.0,,,,1.0,5.0,1.0,6.0,1.0,7.0,88.0,9.0,0.0,2.0,64.0,1.0,13.0,9.0,62.0,7.0,23.0,12.0,33.835821,-84.31531700000001,4,12009,3.14,10.1,35.2,1.74,59,2.9,2600.0,0.15,0.011000000000000001,0.24,0.14,0.0,45,54,37,10,12,6,9,https://www.trulia.com/c/ca/atlanta/villas-at-briarcliff-1831-briarcliff-cir-ne-atlanta-ga-30329--2092157103,9000033064.0,13.0,89.0,21603.0,1000.0,130890000000000.0,Block 1000,G5040,U,3817.0,U,S,360081.0,0.0,33.8342971,-84.3138962
4501 Circle 75 Parkway Southeast,Atlanta,GA,30339.0,"$1,265 - $2,450",2017.0,164.0,Apartment,"651-1,490",,1.0,1.0,1.0,1.0,,21.0,387.0,,33.0,,1.0,4.0,1.0,6.0,1.0,8.0,99.0,1.0,0.0,0.0,103.0,4.0,19.0,11.0,92.0,9.0,112.0,19.0,33.899111,-84.473962,4,12061,3.14,10.1,35.3,1.63,56,2.4,1400.0,0.021,0.013000000000000001,0.15,0.057,0.12,60,76,44,8,12,10,4,https://www.trulia.com/c/ca/atlanta/stadium-walk-4501-circle-75-pkwy-se-atlanta-ga-30339--2092183582,4036367082.0,13.0,67.0,30345.0,1006.0,130670000000000.0,Block 1006,G5040,U,3817.0,U,S,160720.0,0.0,33.8982725,-84.4762299
95 8th Street Northwest,Atlanta,GA,30309.0,"$1,844 - $3,068",2017.0,217.0,Apartment,"708-1,217",,1.0,1.0,1.0,1.0,15.0,,400.0,,27.0,,1.0,9.0,1.0,8.0,1.0,6.0,88.0,5.0,0.0,6.0,283.0,8.0,107.0,54.0,164.0,78.0,151.0,59.0,33.779616,-84.390376,4,37575,3.14,10.2,34.7,3.24,73,4.0,7800.0,0.23,0.012,0.67,0.07200000000000001,0.00011999999999999999,40,44,30,2,4,1,3,https://www.trulia.com/c/ca/atlanta/modera-midtown-95-8th-st-nw-atlanta-ga-30309--2316191296,4011609722.0,13.0,121.0,1001.0,2015.0,131210000000000.0,Block 2015,G5040,U,3817.0,U,S,16390.0,0.0,33.780035600000005,-84.38972209999999
350 Peachtree Hills Avenue NE,Atlanta,GA,30305.0,"$1,445 - $3,350",,110.0,Apartment,"554-1,333",,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,1.0,7.0,97.0,2.0,0.0,0.0,81.0,5.0,37.0,10.0,231.0,12.0,154.0,57.0,33.818228000000005,-84.374871,4,16358,3.14,10.2,34.9,2.02,60,2.9,4000.0,0.21,0.012,0.75,0.083,7e-07,28,36,21,4,4,4,12,https://www.trulia.com/c/ca/atlanta/post-peachtree-hills-350-peachtree-hills-ave-ne-atlanta-ga-30305--2092015212,4037139788.0,13.0,121.0,9300.0,2001.0,131210000000000.0,Block 2001,G5040,U,3817.0,U,S,222940.0,0.0,33.819534499999996,-84.3771455
3505 Windy Ridge Lane Southeast,Atlanta,GA,30339.0,"$1,210 - $2,490",,200.0,Apartment,"701-1,134",,1.0,1.0,1.0,1.0,,21.0,387.0,,33.0,,1.0,4.0,1.0,6.0,1.0,8.0,99.0,1.0,0.0,0.0,73.0,0.0,15.0,12.0,43.0,10.0,63.0,17.0,33.8994,-84.458439,4,11269,3.14,10.1,35.3,1.76,57,2.6,2400.0,0.02,0.013000000000000001,0.15,0.063,0.12,39,55,24,6,4,8,5,https://www.trulia.com/c/ca/atlanta/hudson-ridge-3505-windy-ridge-ln-se-atlanta-ga-30339--2092181903,4038691920.0,13.0,67.0,30345.0,3006.0,130670000000000.0,Block 3006,G5040,U,3817.0,U,S,33724.0,0.0,33.9009365,-84.45625
1240 West Peachtree Street NW,Atlanta,GA,30309.0,"$1,664 - $4,990",2017.0,308.0,Apartment,"650-1,552",,0.0,0.0,1.0,1.0,15.0,,400.0,,27.0,,1.0,9.0,1.0,8.0,1.0,6.0,88.0,5.0,0.0,6.0,216.0,6.0,87.0,40.0,143.0,66.0,103.0,63.0,33.78852,-84.387823,4,25172,3.14,10.2,34.7,3.13,71,3.9,5300.0,0.25,0.012,0.63,0.069,0.00016,33,37,24,2,2,1,4,https://www.trulia.com/c/ca/atlanta/amli-arts-center-1240-w-peachtree-st-nw-atlanta-ga-30309--2030456219,4028389331.0,13.0,121.0,500.0,1082.0,131210000000000.0,Block 1082,G5040,U,3817.0,U,S,49591.0,0.0,33.788314,-84.388538
