Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,Short_form_ID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
235 Lazy Hollow Lane,Covington,GA,30016.0,"$1,000 ",,2.0,Single-Family Home,"1,525",(678) 619-5500,3.0,3.0,2.0,2.0,,,6.0,,169.0,,1.0,4.0,1.0,4.0,1.0,4.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.556652,-83.949943,4,4991,3.14,9.77,35.8,0.936,49,2.1,6.0,0.061,0.011,0.1,0.028,0.0001,45,50,40,1,24,5,10,https://www.trulia.com/c/ca/p/ga/covington/235-lazy-hollow-ln-covington-ga-30016--1004164201,4048904203.0,13.0,217.0,100902.0,2007.0,132171009022007.0,Block 2007,G5040,U,3817.0,U,S,115735.0,0.0,33.554181400000004,-83.9489333
885 Stonemill Mnr,Lithonia,GA,30058.0,"$1,200 ",,4.0,Multi-Family,"2,272",,3.0,3.0,2.0,2.0,241.0,15.0,502.0,,,,1.0,4.0,1.0,4.0,1.0,4.0,92.0,7.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,33.76843,-84.094662,4,9306,3.14,9.83,35.7,0.894,51,2.0,89.0,0.0042,0.0089,0.3,0.044,0.0026,59,98,21,1,11,5,5,https://www.trulia.com/c/ca/p/ga/lithonia/885-stonemill-mnr-lithonia-ga-30058--1074620984,4006987028.0,13.0,89.0,23316.0,2001.0,130890233162001.0,Block 2001,G5040,U,3817.0,U,S,943441.0,87030.0,33.771443,-84.0973185
1267 Sycamore Drive Southwest,Lilburn,GA,30047.0,"$1,450 ",1966.0,30.0,Multi-Family,"1,798",,3.0,3.0,2.0,2.0,61.0,40.0,178.0,,,,1.0,7.0,1.0,8.0,1.0,8.0,98.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,5.0,1.0,8.0,4.0,33.848387,-84.114687,4,7767,3.14,9.87,35.9,0.955,52,2.1,26.0,0.016,0.0092,0.13,0.068,0.0032,29,37,22,2,7,5,14,https://www.trulia.com/c/ca/p/ga/lilburn/1267-sycamore-dr-sw-0-lilburn-ga-30047--2091741589,4028722124.0,13.0,135.0,50429.0,2005.0,131350504292005.0,Block 2005,G5040,U,3817.0,U,S,1319672.0,0.0,33.843828,-84.1118303
180 Lacey Oak Lane,Loganville,GA,30052.0,"$1,400 ",1992.0,2.0,Single-Family Home,"1,615",,3.0,3.0,2.0,2.0,17.0,7.0,30.0,,,,1.0,9.0,1.0,8.0,1.0,8.0,99.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,1.0,6.0,4.0,33.874119,-83.926885,4,3727,3.14,9.72,36.2,0.889,49,1.8,91.0,0.00031,0.0081,0.09,0.039,0.0,39,46,33,3,5,6,6,https://www.trulia.com/c/ca/p/ga/loganville/180-lacey-oak-ln-loganville-ga-30052--2029553588,4048875704.0,13.0,135.0,50724.0,1015.0,131350507241015.0,Block 1015,G5040,U,3817.0,U,S,401391.0,0.0,33.8736597,-83.92810300000002
5665 Bridge Pointe Drive,Alpharetta,GA,30005.0,"$1,850 ",,24.0,Single-Family Home,"1,706",,3.0,3.0,2.0,2.0,23.0,63.0,114.0,,,,1.0,8.0,1.0,9.0,1.0,9.0,97.0,1.0,0.0,0.0,43.0,3.0,4.0,5.0,21.0,1.0,37.0,9.0,34.065528,-84.24725600000002,4,8339,3.14,9.78,36.4,1.1,50,1.9,570.0,0.0,0.011,0.18,0.083,0.0011,38,61,14,5,4,10,4,https://www.trulia.com/c/ca/p/ga/alpharetta/5665-bridge-pointe-dr-alpharetta-ga-30005--2029239639,4047933794.0,13.0,121.0,11619.0,2016.0,131210116192016.0,Block 2016,G5040,U,3817.0,U,S,313625.0,2674.0,34.065473,-84.252748
247 Eastgate Circle,Marietta,GA,30008.0,$930 ,,14.0,Single-Family Home,"1,056",,3.0,3.0,2.0,2.0,,28.0,132.0,,44.0,,1.0,5.0,1.0,5.0,1.0,3.0,94.0,3.0,0.0,0.0,13.0,2.0,0.0,2.0,14.0,3.0,12.0,6.0,33.903948,-84.59928599999998,4,7213,3.14,9.97,35.3,0.8540000000000001,49,1.9,63.0,0.025,0.016,0.11,0.034,0.00032,55,68,42,3,13,6,8,https://www.trulia.com/c/ca/p/ga/marietta/247-eastgate-cir-marietta-ga-30008--2179445410,4048413128.0,13.0,67.0,30905.0,3002.0,130670309053002.0,Block 3002,G5040,U,3817.0,U,S,1183715.0,0.0,33.8984905,-84.5948473
4255 Smoke Creek Parkway #C014,Snellville,GA,30039.0,$839 ,,0.0,Multi-Family,"1,216",,3.0,3.0,2.0,2.0,66.0,56.0,157.0,,,,1.0,5.0,1.0,6.0,1.0,3.0,,,,,,,,,,,,,33.776451,-84.054,4,4553,3.14,9.8,35.8,0.8140000000000001,49,1.9,120.0,0.024,0.0086,0.12,0.041,0.0065,56,72,40,4,6,6,7,https://www.trulia.com/c/ca/p/ga/snellville/4255-smoke-creek-pkwy-c014-snellville-ga-30039--2180767637,4048999798.0,13.0,135.0,50709.0,2010.0,131350507092010.0,Block 2010,G5040,U,3817.0,U,S,1869074.0,20681.0,33.7809343,-84.05328259999997
5785 Charleston Lane #5785,Cumming,GA,30041.0,"$1,875 ",2005.0,0.0,Multi-Family,,,3.0,3.0,2.0,2.0,16.0,589.0,163.0,,,,1.0,7.0,1.0,7.0,1.0,7.0,,,,,,,,,,,,,34.245664,-84.046207,4,803,3.14,9.38,36.2,0.508,41,1.3,0.6,0.039,0.0086,0.13,0.03,1.2e-05,24,10,38,0,10,5,14,https://www.trulia.com/c/ca/p/ga/cumming/5785-charleston-ln-5785-cumming-ga-30041--2181441611,4049018907.0,13.0,117.0,130505.0,1000.0,131171305051000.0,Block 1000,G5040,U,3817.0,U,S,1977361.0,5317.0,34.2417178,-84.0523627
672 Bankshire Drive,Suwanee,GA,30024.0,"$1,421 ",,2.0,Single-Family Home,"1,528",,3.0,3.0,2.0,2.0,19.0,66.0,87.0,,,,1.0,7.0,0.0,0.0,1.0,8.0,98.0,1.0,0.0,0.0,9.0,2.0,1.0,0.0,17.0,2.0,16.0,14.0,34.003091,-84.04284,4,11108,3.14,9.72,36.3,1.11,51,2.0,84.0,0.0071,0.0088,1.7,0.07200000000000001,0.33,38,54,23,11,9,5,7,https://www.trulia.com/c/ca/p/ga/suwanee/672-bankshire-dr-suwanee-ga-30024--1043720615,4048866145.0,13.0,135.0,50529.0,2004.0,131350505292004.0,Block 2004,G5040,U,3817.0,U,S,50018.0,0.0,34.003445,-84.0448189
2739 Council Street,Lithonia,GA,30058.0,"$1,150 ",1972.0,16.0,Single-Family Home,"1,724",,3.0,3.0,2.0,2.0,241.0,15.0,502.0,,,,1.0,2.0,1.0,2.0,1.0,3.0,92.0,7.0,0.0,0.0,47.0,2.0,7.0,3.0,100.0,5.0,47.0,7.0,33.705121000000005,-84.10508100000001,4,5650,3.14,9.83,35.4,1.15,52,2.3,1600.0,0.11,0.009000000000000001,0.77,0.048,0.00029,80,95,65,1,10,11,8,https://www.trulia.com/c/ca/p/ga/lithonia/2739-council-st-lithonia-ga-30058--2029583898,4048312563.0,13.0,89.0,23303.0,3026.0,130890233033026.0,Block 3026,G5040,U,3817.0,U,S,86047.0,0.0,33.7046301,-84.1064209
3814 Palisade Court,Snellville,GA,30039.0,"$1,250 ",,7.0,Multi-Family,"1,535",,3.0,3.0,2.0,2.0,66.0,56.0,157.0,,,,1.0,6.0,1.0,6.0,1.0,3.0,98.0,1.0,0.0,0.0,27.0,5.0,0.0,1.0,32.0,0.0,18.0,4.0,33.807029,-84.04029799999998,4,6800,3.14,9.8,35.9,0.908,50,2.0,140.0,0.037000000000000005,0.0086,0.093,0.045,0.0022,56,76,36,4,11,7,7,https://www.trulia.com/c/ca/p/ga/snellville/3814-palisade-ct-snellville-ga-30039--1073021435,4043088392.0,13.0,135.0,50722.0,1021.0,131350507221021.0,Block 1021,G5040,U,3817.0,U,S,273553.0,0.0,33.8056713,-84.0387418
3879 Waldrop Lane,Decatur,GA,30034.0,$985 ,2006.0,1.0,Single-Family Home,"1,560",,3.0,3.0,2.0,2.0,334.0,30.0,403.0,,,,1.0,2.0,1.0,3.0,1.0,5.0,90.0,10.0,0.0,0.0,10.0,0.0,0.0,1.0,7.0,0.0,7.0,0.0,33.682334999999995,-84.258838,4,10227,3.14,9.87,34.6,1.18,53,2.8,1200.0,0.03,0.0099,0.3,0.16,1.5,70,95,45,0,7,9,6,https://www.trulia.com/c/ca/p/ga/decatur/3879-waldrop-ln-decatur-ga-30034--2029404454,4048941650.0,13.0,89.0,23421.0,3001.0,130890234213001.0,Block 3001,G5040,U,3817.0,U,S,852247.0,0.0,33.6820912,-84.2632921
