"Address","City","State","Zip_Code","Rent_Per_Month","Year","Days_on_Trulia","Type","Sqft","Phone_Number","Bedroom_min","Bedroom_max","Bathroom_min","Bathroom_max","Assault","Arrest","Theft","Vandalism","Burglary","Crime_Other","Elementary_School_Count","Elementary_School_Avg_Score","Middle_School_Count","Middle_School_Avg_Score","High_School_Count","High_School_Avg_Score","Driving","Transit","Walking","Cycling","Restaurant","Groceries","Nightlife","Cafe","Shopping","Entertainment","Beauty","Active_life","Latitude","Longitude","EPA_Region","Population","Input_area.sq..miles.","Particulate_Matter","Ozone","NATA._Diesel_PM","NATA._Air_Toxics_Cancer_Risk","NATA._Respiratory_Hazard_Index","Traffic_Proximity_and_Volume","Lead_Paint_Indicator","Superfund_Proximity","RMP_Proximity","Hazardous_Waste_Proximity","Wastewater_Discharge_Indicator","Demographic_Index.","Minority_Population.","Low_Income_Population.","Linguistically_Isolated_Population.","Population_with_Less_Than_High_School_Education.","Population_under_Age_5.","Population_over_Age_64.","URL","rent_max","rent_min","Sqft_max","Sqft_min","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
"6500 Yucca Street","Los Angeles","CA","90028","$2,195 - $2,795",1928,"2","Apartment","565-910","(424) 610-8433","1","1",1,1,186,1,1007,NA,NA,NA,1,2,1,3,1,7,66,16,0,8,366,25,245,79,440,264,272,124,34.103885,-118.33146,9,48126,3.14,12.1,40.5,2.14,64,3.4,3700,0.44,0.14,1.1,0.14,0.0062,43,43,44,16,11,3,10,"https://www.trulia.com/c/ca/los-angeles/lido-6500-yucca-st-los-angeles-ca-90028--2077296711",2795,2195,910,565,6,37,190201,1003,60371902011003,"Block 1003","G5040","U",51445,"U","S",24786,0,34.102723,-118.3315735
"900 East 1st Street","Los Angeles","CA","90012","$2,900 - $3,650",NA,"165","Apartment","1,150-1,435","(424) 275-2630",NA,NA,1,1,396,2,1773,NA,NA,NA,0,0,0,0,2,4,73,13,0,9,538,54,160,117,1301,180,148,87,34.048332,-118.233644,9,36788,3.14,12.5,38.1,2.95,82,4.9,4100,0.53,0.14,5.4,0.98,2.7,67,79,63,19,30,3,12,"https://www.trulia.com/c/ca/los-angeles/900-east-1st-street-900-e-1st-st-los-angeles-ca-90012--1001540080",3650,2900,1435,1150,6,37,206031,1031,60372060311031,"Block 1031","G5040","U",51445,"U","S",15400,0,34.0477555,-118.2332714
"1802 Whitley Avenue","Los Angeles","CA","90028","$3,250",NA,"143","Apartment","991","(323) 553-4109","2","2",2,2,186,1,1007,NA,NA,NA,1,2,1,3,1,7,66,16,0,8,379,22,249,77,464,260,278,123,34.10352,-118.333317,9,48521,3.14,12.1,40.5,2.13,64,3.4,3700,0.43,0.14,1,0.13,0.0061,42,42,42,15,10,2,10,"https://www.trulia.com/c/ca/los-angeles/1800-whitley-1802-whitley-ave-los-angeles-ca-90028--1002343814",NA,3250,NA,991,6,37,190202,2000,60371902022000,"Block 2000","G5040","U",51445,"U","S",23692,0,34.1042604,-118.3327116
"1317 N Bronson Avenue","Los Angeles","CA","90028","$1,595 - $1,995",1926,"2","Apartment","503-826","(424) 610-8419","Studio","1",1,1,182,1,993,NA,NA,NA,1,4,1,3,1,2,66,16,0,8,415,50,198,66,490,209,274,90,34.09497,-118.318006,9,68770,3.14,12.2,40.1,2.27,64,3.4,4300,0.46,0.17,0.95,0.17,0,60,64,57,32,25,5,10,"https://www.trulia.com/c/ca/los-angeles/1317-n-bronson-ave-1317-n-bronson-ave-los-angeles-ca-90028--1049346542",1995,1595,826,503,6,37,190902,1001,60371909021001,"Block 1001","G5040","U",51445,"U","S",40891,0,34.0962251,-118.3184977
"1200 South Grand Avenue","Los Angeles","CA","90015","$2,097 - $8,409",2017,"409","Apartment","460-1,237","(213) 699-5641","0","0",1,1,396,2,1773,NA,NA,NA,0,0,0,0,1,5,53,38,2,8,814,44,216,173,3617,202,287,145,34.040029,-118.26339,9,44409,3.14,12.5,38.2,2.81,83,4.9,7000,0.56,0.13,2.5,0.46,0.27,72,81,63,23,32,6,10,"https://www.trulia.com/c/ca/los-angeles/g12-1200-s-grand-ave-los-angeles-ca-90015--2115493873",8409,2097,1237,460,6,37,207900,1020,60372079001020,"Block 1020","G5040","U",51445,"U","S",11508,0,34.0393681,-118.2635272
"5520 Wilshire Boulevard","Los Angeles","CA","90036","$2,846 - $7,241",2016,"451","Apartment","649-1,634","(424) 324-3613","0","0",1,1,7,NA,92,NA,21,NA,1,4,1,7,1,6,88,3,0,3,228,19,44,86,544,118,256,114,34.06224,-118.349193,9,44060,3.14,12.3,39.6,1.52,64,3.6,2300,0.68,0.096,0.16,0.098,47,37,48,25,9,5,6,11,"https://www.trulia.com/c/ca/los-angeles/desmond-at-wilshire-5520-wilshire-blvd-los-angeles-ca-90036--2077337370",7241,2846,1634,649,6,37,216200,4000,60372162004000,"Block 4000","G5040","U",51445,"U","S",19516,0,34.0614421,-118.3491666
"12301 West Pico Boulevard","Los Angeles","CA","90064","$2,416 - $3,519",2013,"505","Apartment","365-858","(424) 293-3982","0","0",1,1,37,2,578,NA,NA,NA,1,5,1,2,1,6,94,3,0,1,206,16,33,44,253,76,141,165,34.02837,-118.452283,9,33415,3.14,11.7,40.2,1.98,60,3.6,5200,0.4,0.05,0.65,0.092,0,42,53,31,10,10,6,12,"https://www.trulia.com/c/ca/los-angeles/c-on-pico-12301-w-pico-blvd-los-angeles-ca-90064--2115681218",3519,2416,858,365,6,37,267600,3016,60372676003016,"Block 3016","G5040","U",51445,"U","S",14646,0,34.0287794,-118.453077
"1026 South Broadway","Los Angeles","CA","90015","$2,247 - $4,491",2016,"466","Apartment","478-1,474","(818) 574-7504","0","0",1,1,396,2,1773,NA,NA,NA,0,0,0,0,1,5,53,38,2,8,900,57,245,198,3805,233,295,149,34.040487,-118.257842,9,39443,3.14,12.5,38.2,2.83,89,5.3,5300,0.57,0.13,3.5,0.63,0.56,68,74,61,18,24,4,12,"https://www.trulia.com/c/ca/los-angeles/broadway-palace-1026-south-broadway-los-angeles-ca-90015--2077213904",4491,2247,1474,478,6,37,207900,1015,60372079001015,"Block 1015","G5040","U",51445,"U","S",11458,0,34.039867,-118.2581103
"10700 Wilshire Boulevard","Los Angeles","CA","90024","$5,765 - $29,995",NA,"331","Apartment","1,267-2,481","(424) 336-9048","1","1",1,1,3,NA,177,NA,42,NA,1,9,1,5,1,6,82,3,0,12,279,11,35,59,341,67,236,95,34.060767,-118.435984,9,42847,3.14,11.8,40.4,1.64,63,3.5,1800,0.31,0.06,0.32,0.08,0,33,35,30,9,4,3,17,"https://www.trulia.com/c/ca/los-angeles/wilshire-victoria-westwood-apartments-10700-wilshire-blvd-los-angeles-ca-90024--2077255374",29995,5765,2481,1267,6,37,265602,2001,60372656022001,"Block 2001","G5040","U",51445,"U","S",26174,0,34.0600862,-118.4366537
"801 South Olive Street","Los Angeles","CA","90014","$3,125 - $19,775",2016,"207","Apartment","622-1,846","(213) 986-2920","1","1",1,1,396,2,1773,NA,NA,NA,0,0,0,0,1,5,50,24,4,22,1007,60,285,225,3793,275,315,159,34.044941,-118.257113,9,48946,3.14,12.5,38.2,2.78,88,5.1,5300,0.51,0.14,3.1,0.54,0.53,69,76,61,21,25,4,12,"https://www.trulia.com/c/ca/los-angeles/atelier-801-s-olive-st-los-angeles-ca-90014--2115491462",19775,3125,1846,622,6,37,207710,1045,60372077101045,"Block 1045","G5040","U",51445,"U","S",25132,0,34.0447883,-118.2580692
