Address,City,State,Zip_Code,Rent_Per_Month,Year,Days_on_Trulia,Type,Sqft,Phone_Number,Bedroom_min,Bedroom_max,Bathroom_min,Bathroom_max,Assault,Arrest,Theft,Vandalism,Burglary,Crime_Other,Elementary_School_Count,Elementary_School_Avg_Score,Middle_School_Count,Middle_School_Avg_Score,High_School_Count,High_School_Avg_Score,Driving,Transit,Walking,Cycling,Restaurant,Groceries,Nightlife,Cafe,Shopping,Entertainment,Beauty,Active_life,Latitude,Longitude,EPA_Region,Population,Input_area.sq..miles.,Particulate_Matter,Ozone,NATA._Diesel_PM,NATA._Air_Toxics_Cancer_Risk,NATA._Respiratory_Hazard_Index,Traffic_Proximity_and_Volume,Lead_Paint_Indicator,Superfund_Proximity,RMP_Proximity,Hazardous_Waste_Proximity,Wastewater_Discharge_Indicator,Demographic_Index.,Minority_Population.,Low_Income_Population.,Linguistically_Isolated_Population.,Population_with_Less_Than_High_School_Education.,Population_under_Age_5.,Population_over_Age_64.,URL,rent_max,rent_min,Sqft_max,Sqft_min,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
120 Granville Avenue,Los Angeles,CA,90049,"$6,295",,156,Apartment,1791,(424) 324-3315,3,3,2.0,2.0,5.0,1.0,102.0,,,,1.0,5.0,1.0,8.0,1.0,6.0,94.0,2.0,0.0,3.0,61.0,3.0,10.0,20.0,116.0,20.0,111.0,84.0,34.063187,-118.47146299999999,9,20803,3.14,11.5,40.8,1.51,53,2.8,2300.0,0.37,0.055,0.62,0.07,0.0,18,20,16,3,4,4,20,https://www.trulia.com/c/ca/los-angeles/120-granville-ave-120-granville-ave-los-angeles-ca-90049--2077416401,,6295.0,,1791.0,6.0,37.0,264102.0,1004.0,60372641021004.0,Block 1004,G5040,U,51445.0,U,S,215468.0,0.0,34.0586119,-118.47004650000001
880 West 1st Street #213,Los Angeles,CA,90012,"$3,700",1982.0,10,Multi-Family,"1,512",(213) 629-2530,3,3,2.0,2.0,396.0,2.0,1773.0,,,,1.0,6.0,0.0,0.0,1.0,5.0,73.0,13.0,0.0,9.0,885.0,62.0,252.0,205.0,2307.0,242.0,301.0,139.0,34.057406,-118.25146000000001,9,65074,3.14,12.5,38.4,2.77,80,4.6,5900.0,0.5,0.17,2.4,0.39,0.6,72,82,61,27,31,5,12,https://www.trulia.com/c/ca/los-angeles/880-w-1st-st-213-los-angeles-ca-90012--2115486323,,3700.0,,1512.0,6.0,37.0,207501.0,1004.0,60372075011004.0,Block 1004,G5040,U,51445.0,U,S,39806.0,0.0,34.056450500000004,-118.25144979999999
7135 Hollywood Boulevard #201,Los Angeles,CA,90046,"$5,200",1965.0,10,Multi-Family,"1,500",(323) 810-1666,3,3,2.0,2.0,182.0,1.0,993.0,,,,1.0,8.0,1.0,3.0,1.0,7.0,88.0,6.0,0.0,4.0,291.0,29.0,200.0,57.0,517.0,180.0,416.0,142.0,34.101632,-118.346512,9,45695,3.14,12.1,40.5,2.04,64,3.5,3000.0,0.44,0.12,0.8,0.12,0.0061,35,33,38,14,7,2,12,https://www.trulia.com/c/ca/los-angeles/7135-hollywood-blvd-201-los-angeles-ca-90046--2077401145,,5200.0,,1500.0,6.0,37.0,189903.0,1000.0,60371899031000.0,Block 1000,G5040,U,51445.0,U,S,64981.0,0.0,34.10251029999999,-118.347202
1955 Micheltorena Street,Los Angeles,CA,90039,"$6,200",1936.0,10,Single-Family Home,"1,975",(310) 432-6450,3,3,2.0,2.0,23.0,,323.0,,52.0,,1.0,9.0,1.0,7.0,1.0,7.0,91.0,5.0,0.0,3.0,151.0,11.0,54.0,39.0,190.0,42.0,114.0,81.0,34.096034,-118.27091499999999,9,35461,3.14,12.3,39.6,1.75,58,2.9,1600.0,0.67,0.42,1.7,0.48,1.2,38,48,28,9,11,4,13,https://www.trulia.com/c/ca/los-angeles/1955-micheltorena-st-los-angeles-ca-90039--1008054900,,6200.0,,1975.0,6.0,37.0,195100.0,4013.0,60371951004013.0,Block 4013,G5040,U,51445.0,U,S,34355.0,0.0,34.0957937,-118.2725835
1744 Warnall Avenue,Los Angeles,CA,90024,"$5,500",1937.0,10,Single-Family Home,"1,682",(310) 777-7800,3,3,2.0,2.0,3.0,,177.0,,42.0,,1.0,9.0,1.0,5.0,1.0,6.0,82.0,3.0,0.0,12.0,146.0,4.0,37.0,33.0,304.0,45.0,320.0,54.0,34.060002000000004,-118.42173600000001,9,33161,3.14,11.9,40.3,1.6,61,3.5,1800.0,0.39,0.062,0.24,0.083,0.01,23,27,19,9,4,4,24,https://www.trulia.com/c/ca/los-angeles/1744-warnall-ave-los-angeles-ca-90024--1001724372,,5500.0,,1682.0,6.0,37.0,265700.0,2005.0,60372657002005.0,Block 2005,G5040,U,51445.0,U,S,19961.0,0.0,34.0605595,-118.4214953
2206 Outpost Drive,Los Angeles,CA,90068,"$5,950",1953.0,10,Single-Family Home,"2,236",(310) 888-3355,3,3,2.0,2.0,75.0,,560.0,,95.0,,1.0,8.0,1.0,3.0,1.0,7.0,91.0,4.0,0.0,3.0,171.0,10.0,123.0,32.0,268.0,94.0,95.0,81.0,34.112007,-118.34525900000001,9,24848,3.14,12.1,40.8,2.0,61,3.2,3600.0,0.44,0.13,1.1,0.12,0.087,32,31,32,10,5,2,10,https://www.trulia.com/c/ca/los-angeles/2206-outpost-dr-los-angeles-ca-90068--1037913326,,5950.0,,2236.0,6.0,37.0,189702.0,1010.0,60371897021010.0,Block 1010,G5040,U,51445.0,U,S,114507.0,0.0,34.111328,-118.34443
2509 South Bedford Street,Los Angeles,CA,90034,"$10,000",1949.0,10,Single-Family Home,"1,959",(323) 315-7475,3,3,2.0,2.0,219.0,,1229.0,,293.0,,1.0,4.0,1.0,3.0,1.0,6.0,89.0,7.0,0.0,2.0,108.0,14.0,15.0,29.0,316.0,26.0,69.0,75.0,34.037707,-118.38408000000001,9,32742,3.14,12.2,39.5,2.07,63,3.8,5000.0,0.64,0.069,0.18,0.11,130.0,44,58,31,7,15,5,13,https://www.trulia.com/c/ca/los-angeles/2509-s-bedford-st-los-angeles-ca-90034--2115568124,,10000.0,,1959.0,6.0,37.0,269700.0,1004.0,60372697001004.0,Block 1004,G5040,U,51445.0,U,S,71153.0,0.0,34.0386993,-118.3838923
4878 Axtell Street,Los Angeles,CA,90032,"$2,450",,11,Single-Family Home,"1,000",Phone not provided,3,3,2.0,2.0,10.0,2.0,56.0,,,,1.0,3.0,1.0,4.0,2.0,5.0,88.0,8.0,0.0,0.0,49.0,19.0,3.0,6.0,51.0,5.0,31.0,9.0,34.084789,-118.17673300000001,9,34643,3.14,12.1,39.1,1.53,53,2.5,620.0,0.58,0.21,0.94,0.14,0.00047000000000000004,74,93,54,17,36,7,12,https://www.trulia.com/c/ca/los-angeles/4878-axtell-st-los-angeles-ca-90032--2077318396,,2450.0,,1000.0,6.0,37.0,201503.0,2008.0,60372015032008.0,Block 2008,G5040,U,51445.0,U,S,27084.0,0.0,34.0842124,-118.1768416
1062 South Alfred Street,Los Angeles,CA,90035,"$6,000",1936.0,11,Multi-Family,"3,917",(310) 492-0733,3,3,2.0,2.0,217.0,,1227.0,,292.0,,1.0,4.0,1.0,5.0,1.0,6.0,93.0,2.0,0.0,2.0,284.0,15.0,35.0,68.0,568.0,90.0,597.0,157.0,34.05753,-118.374951,9,41920,3.14,12.2,39.7,1.48,63,3.5,2700.0,0.66,0.078,0.14,0.091,44.0,31,35,26,9,7,6,15,https://www.trulia.com/c/ca/los-angeles/1062-s-alfred-st-los-angeles-ca-90035--1001979659,,6000.0,,3917.0,6.0,37.0,216800.0,4002.0,60372168004002.0,Block 4002,G5040,U,51445.0,U,S,32446.0,0.0,34.0582414,-118.37554579999998
11871 Nebraska Avenue,Los Angeles,CA,90025,"$5,500",1987.0,11,,"1,776",(323) 314-3003,3,3,2.0,2.0,37.0,2.0,576.0,,,,1.0,2.0,1.0,2.0,1.0,6.0,86.0,7.0,2.0,2.0,293.0,20.0,49.0,62.0,368.0,86.0,241.0,239.0,34.038018,-118.45615600000001,9,48442,3.14,11.6,40.3,1.92,63,3.6,4200.0,0.24,0.052000000000000005,1.3,0.084,0.0,39,48,30,8,8,5,11,https://www.trulia.com/c/ca/los-angeles/11871-nebraska-ave-los-angeles-ca-90025--1054680033,,5500.0,,1776.0,6.0,37.0,267501.0,3004.0,60372675013004.0,Block 3004,G5040,U,51445.0,U,S,21128.0,0.0,34.0386945,-118.45673000000001
